op,mean_err_left_deg,p95_err_left_deg,max_err_left_deg,mean_err_right_deg,p95_err_right_deg,max_err_right_deg
0,1.0042603535598808e-08,0.0,2.9575586669421963e-06,1.0042603535598808e-08,0.0,2.9575586669421963e-06
1,180.0,180.0,180.0,168.78106373069292,178.53147282467526,179.7819721635505
2,0.0,0.0,0.0,67.70728079316726,112.00000741380174,116.45591326548876
3,180.0,180.0,180.0,168.78106373069292,178.53147282467526,179.7819721635505
4,120.0,120.00000000000001,120.00000000000001,135.7947960489865,159.4586611976854,166.48545669943596
5,2.8446538124183395e-10,0.0,2.4148365394514667e-06,63.20622739987278,113.83347650597372,119.76218584306162
6,120.0,120.00000000000001,120.00000000000004,136.52222545709682,161.90998617831593,165.31983357266677
7,180.0,180.0,180.0,171.54577454339787,178.92073546913366,179.76899047776936
8,1.6845387550055177e-09,0.0,2.9575586669421963e-06,60.34786233467802,89.0754634948723,105.99012273208183
9,1.9145824973991587e-08,0.0,2.9575586669421963e-06,60.68270231044032,114.82215753943059,123.36448396413202
10,0.0,0.0,0.0,60.2982244662742,103.86736229820411,117.40544890051272
11,4.627631884097269e-08,0.0,2.9575586669421963e-06,55.65018035373588,113.88160145688444,121.71419824034825
12,120.0,120.00000000000001,120.00000000000004,136.96179466439256,162.4242168159258,166.02448462536339
13,5.993716544837345e-09,0.0,2.9575586669421963e-06,62.490124202530644,108.23717542090118,115.57953469834976
14,120.0,120.00000000000001,120.00000000000004,133.92680497841246,161.73492897048408,164.03999858208147
15,180.0,180.0,180.0,171.54577454339787,178.92073546913366,179.76899047776936
16,9.25856588325421e-10,0.0,2.9575586669421963e-06,59.767322251619014,103.83951515709201,119.72944591109439
17,120.0,120.00000000000001,120.00000000000001,135.7947960489865,159.45866119768542,166.48545669943596
18,180.0,180.0,180.0,170.69867815453108,179.06971124833677,179.92773428099858
19,120.0,120.00000000000001,120.00000000000004,133.92680497841246,161.7349289704841,164.03999858208147
20,1.6936031359863556e-08,0.0,2.9575586669421963e-06,65.3271546521064,110.18195264184898,119.76218584306162
21,120.0,120.00000000000001,120.00000000000004,136.96179466439256,162.4242168159258,166.02448462536339
22,180.0,180.0,180.0,170.69867815453108,179.06971124833677,179.92773428099858
23,120.0,120.00000000000001,120.00000000000004,136.5222254570968,161.90998617831593,165.31983357266677
